Time;Temperature;Humidity;Pressure;Accel_x;Accel_y;Accel_z;Rot_x;Rot_y;Rot_z;Mag_x;Mag_y;Mag_z;
29341.00;20.37;46.81;100.72;-0.95;-0.09;0.28;-14.16;-33.51;2.01;0.00;35.00;11.00;
29526.00;20.37;46.77;100.72;-0.94;-0.21;0.08;-11.29;-2.01;8.18;2.00;35.00;9.00;
29709.00;20.37;46.77;100.73;-0.97;-0.20;0.14;-1.16;-5.62;-5.25;2.00;35.00;8.00;
29892.00;20.35;46.76;100.72;-0.94;-0.01;0.27;-4.39;-9.77;5.55;4.00;37.00;8.00;
30074.00;20.34;46.76;100.72;-1.17;-0.32;-0.00;-3.05;-12.27;0.24;2.00;34.00;11.00;
30259.00;20.35;46.74;100.73;-0.88;-0.04;0.14;5.86;12.02;-0.31;2.00;37.00;8.00;
30441.00;20.35;46.74;100.73;-0.93;-0.09;0.16;13.18;-9.22;-1.28;2.00;39.00;5.00;
30624.00;20.34;46.72;100.72;-0.89;-0.05;0.20;-22.83;-5.25;2.81;4.00;37.00;6.00;
30807.00;20.35;46.72;100.72;-0.95;-0.21;0.21;-31.80;-4.39;-19.96;5.00;41.00;5.00;
30992.00;20.35;46.72;100.73;-0.87;0.00;0.07;-48.03;-78.92;-83.74;16.00;40.00;1.00;
31178.00;20.32;46.69;100.72;-1.31;-0.15;-1.21;-72.75;31.31;174.13;22.00;42.00;-12.00;
31367.00;20.32;46.69;100.72;-0.66;0.41;-0.29;31.07;136.78;-10.99;16.00;42.00;-10.00;
31555.00;20.32;46.68;100.72;-0.83;-0.03;0.79;11.72;78.92;37.78;12.00;36.00;11.00;
31740.00;20.31;46.67;100.72;-0.80;0.24;0.39;-9.28;-18.92;4.58;9.00;29.00;18.00;
31923.00;20.31;46.65;100.73;-0.98;-0.14;0.18;-30.82;-44.80;-0.31;8.00;34.00;16.00;
32109.00;20.32;46.65;100.72;-1.00;0.05;0.10;10.13;2.56;10.19;12.00;33.00;16.00;
32292.00;20.32;46.63;100.72;-0.81;-0.15;0.36;13.06;-6.59;12.21;10.00;34.00;15.00;
32477.00;20.31;46.63;100.72;-0.98;-0.18;0.32;1.71;-15.38;-0.43;9.00;33.00;13.00;
32661.00;20.31;46.61;100.72;-0.93;0.01;0.25;-0.43;10.38;3.48;8.00;34.00;13.00;
32843.00;20.31;46.61;100.73;-0.92;-0.05;0.34;-2.81;-19.29;-4.76;11.00;35.00;12.00;
33029.00;20.30;46.60;100.73;-0.95;-0.02;0.27;-5.98;-19.10;-11.47;12.00;37.00;10.00;
33216.00;20.30;46.60;100.72;-1.00;0.40;0.19;-13.61;-43.27;-21.12;16.00;41.00;6.00;
33402.00;20.30;46.58;100.73;-1.00;0.14;-1.21;15.87;-12.82;26.61;15.00;42.00;-9.00;
33588.00;20.28;46.58;100.73;-1.09;-0.79;-0.16;2.44;8.18;-12.02;11.00;42.00;-6.00;
33773.00;20.30;46.56;100.73;-0.82;-0.28;0.08;-28.81;-6.53;8.06;12.00;42.00;-10.00;
33959.00;20.28;46.56;100.73;-1.01;0.64;-0.14;0.73;-14.34;4.09;13.00;42.00;-6.00;
34143.00;20.28;46.56;100.73;-0.93;0.06;-0.38;15.20;-11.11;-23.13;11.00;43.00;-13.00;
34331.00;20.27;46.53;100.73;-0.98;-0.01;-0.14;-17.03;-6.10;-8.24;14.00;43.00;-12.00;
34519.00;20.28;46.51;100.73;-0.58;-0.11;0.07;134.58;10.25;-47.18;12.00;42.00;-10.00;
34707.00;20.27;46.51;100.73;-1.09;-0.02;-0.11;67.50;13.98;-14.47;14.00;45.00;-13.00;
34895.00;20.26;46.49;100.73;-0.49;0.25;-0.10;-0.92;-12.21;32.71;15.00;43.00;-8.00;
35081.00;20.27;46.49;100.73;-1.07;0.30;-0.30;10.50;11.78;4.33;14.00;41.00;-4.00;
35265.00;20.27;46.49;100.73;-0.96;0.21;-0.31;-30.82;19.23;1.59;15.00;45.00;-6.00;
35450.00;20.26;46.47;100.73;-1.12;0.20;-0.13;-84.47;-1.77;5.13;13.00;47.00;-10.00;
35636.00;20.26;46.45;100.73;-0.92;-0.25;0.08;-0.85;5.37;15.87;17.00;73.00;-21.00;
35821.00;20.27;46.45;100.73;-0.99;-0.05;-0.16;19.53;9.46;9.28;26.00;39.00;-60.00;
36006.00;20.26;46.45;100.73;-0.75;-0.08;-0.17;17.52;-5.86;4.76;20.00;46.00;-58.00;
36192.00;20.26;46.44;100.73;-1.03;-0.10;-0.23;-8.36;-9.03;-1.77;24.00;46.00;-71.00;
36379.00;20.26;46.44;100.73;-0.90;-0.06;-0.06;-27.47;1.65;1.28;26.00;42.00;-60.00;
